series_id,display_name,content_type,genre_normalized,era_bucket,_storyline,_tone,_maturity,_director,_actor,n_episodes_tagged
movie::5e76d4dc-0ecd-4589-8bdb-7eb363dc020b,Amar Geeti,movie,Musical Drama,1980s,"['reconciliation', 'self_discovery']","['dramatic', 'emotional']",['substance use'],['Tarun Majumdar'],"['Biswajit Chatterjee', 'Rabi Ghosh', 'Sandhya Roy', 'Soumitra Chatterjee']",1
movie::5ec23bf8-6a0b-4f05-9f98-d0b2f8bba04b,X=Prem,movie,Romantic,2020s,"['love_triangle', 'reconciliation', 'self_discovery']","['bittersweet', 'dramatic', 'emotional']","['alcohol', 'foul language', 'sexual content', 'smoking']",['Srijit Mukherji'],"['Anindya Sengupta', 'Arjun Chakrabarty', 'Madhurima Basak', 'Shruti Das']",1
movie::6111c33b-8da0-4e42-9498-15334649ddd2,Pujo'r Pleasant Surprise,movie,Romantic Comedy,2020s,"['comedy_of_errors', 'domestic_conflict', 'family_conflict']","['comedic', 'heartwarming']",['suitable for all ages'],['Sayantan Dhara'],"['Biswabijay Duttachowdhury', 'Ditipriya Roy', 'Ratnottoma Sengupta', 'Saurav Das']",1
movie::61f48684-d0f2-4aa1-a0ac-0c351280f19d,Bawchhor Kuri Pawr,movie,Mystery,2010s,"['family_secrets', 'self_discovery']","['mysterious', 'tense']","['foul language', 'violence']",['Avijit Sardar'],"['Biswarup Chattopadhyay', 'Navil Singh', 'Rudranil Ghosh', 'Tuhina Das']",1
movie::63140a71-1adc-482b-b36f-86268e15f3bf,Uttarayan,movie,Drama,1960s,"['life_threat', 'political_unrest', 'survival']","['dramatic', 'intense', 'tragic']",['suitable for all ages'],['Agradoot'],"['Supriya Devi', 'Uttam Kumar']",1
movie::654b358b-7b80-4c99-a38e-8440c3c18a38,Ghore Pherar Pala,movie,Drama,2020s,"['family_conflict', 'reconciliation']","['dramatic', 'emotional', 'heartwarming']",['suitable for all ages'],['Sayantan Dhara'],"['Alivia Sarkar', 'Rajdeep Gupta', 'Sourav Ghosh', 'Swati Mukherjee']",1
movie::67689ac9-8bd0-4894-b877-70d6acb3b9df,Bonolota Express,movie,Comedy,2020s,"['comedy_of_errors', 'ensemble_multiple_storylines', 'forbidden_love']","['chaotic', 'comedic']","['alcohol', 'mature themes', 'smoking']",['Tanim Noor'],"['Azmeri Haque Badhon', 'Chanchal Chowdhury', 'Intekhab Dinar', 'Mosharraf Karim', 'Sabila Nur', 'Sariful Razz', 'Shamima Nazneen', 'Shamol Mawla', 'Zakia Bari Mamo']",1
movie::682f4d65-9753-467c-9e50-7856b432e270,Hothat Nirar Jonyo,movie,Drama,2000s,"['betrayal', 'domestic_conflict', 'extramarital_affair']","['dramatic', 'emotional', 'tense']",['sexual content'],"['Arindam Sil', 'Subrata Sen']","['Bickram Ghosh', 'Jaya Seal Ghosh']",1
movie::6b0fd662-447f-4cf5-bba7-34165711e93d,Bhaggyolokkhi,movie,Thriller,2020s,"['cover_up', 'life_threat', 'murder_mystery']","['suspenseful', 'tense']","['alcohol', 'gore', 'mature themes', 'smoking', 'violence']",['Mainak Bhaumik'],"['Judhajit Sarkar', 'Loknath Dey', 'Ritwick Chakraborty', 'Solanki Roy', 'Sujan Mukherjee', 'Swastika Dutta']",1
movie::6b54a0ee-0ad0-48a6-916a-66402bed6470,Kakababur Protyaborton,movie,Adventure Drama,2020s,"['crime_investigation', 'life_threat', 'missing_person', 'survival']","['intense', 'suspenseful', 'tense']",['suitable for all ages'],['Srijit Mukherji'],"['Anirban Chakrabarti', 'Aryann Bhowmik', 'Prosenjit Chatterjee']",1
movie::6f743c4c-7faa-47e2-a231-29f32b285765,Bolo Dugga Maiki,movie,Romance,2010s,"['comedy_of_errors', 'family_conflict', 'mistaken_identity', 'reconciliation']","['comedic', 'heartwarming']",['violence'],['Raj Chakraborty'],"['Ankush Hazra', 'Nussrat Jahan']",1
movie::71521ecc-9f00-49f1-a3f8-b80c75071b47,"Baba, Baby O",movie,Drama,2020s,"['family_conflict', 'midlife_crisis', 'self_discovery']","['bittersweet', 'emotional']",['suitable for all ages'],['Aritra Mukherjee'],"['Gourab Chatterjee', 'Jisshu Sengupta', 'Mainak Banerjee', 'Solanki Roy']",1
movie::72208784-81c6-4026-868b-b121c55e2365,Sunayani,movie,Drama,1970s,"['class_divide', 'forbidden_love']","['dramatic', 'emotional', 'heartwarming']",['violence'],['Sukhen Das'],"['Shakuntala Barua', 'Subhendu Chattopadhyay', 'Uttam Kumar']",1
movie::7598e820-b7f9-4812-857b-4cb1ae1e2ff4,Buro Sadhu,movie,Psychological Drama,2010s,"['family_conflict', 'reconciliation', 'self_discovery']","['dramatic', 'emotional', 'tragic']","['foul language', 'substance use']",['VIK'],"['Chiranjeet Chakrabarti', 'Ishaa Saha', 'Ritwick Chakraborty']",1
movie::793eb88c-25ec-4c89-8fda-220256592320,Kuler Achaar,movie,Social Drama,2020s,"['family_conflict', 'gender_empowerment', 'in_law_tension', 'social_injustice']","['chaotic', 'dramatic', 'empowering']",['suitable for all ages'],['Sudeep Das'],"['Indrani Haldar', 'Madhumita Sarcar', 'Sujan Mukherjee', 'Vikram Chatterjee']",1
movie::79e9f538-a9d8-437c-bdf9-5b8d417f76ab,Bibi Payra,movie,Comedy,2020s,"['comedy_of_errors', 'gender_empowerment', 'scam_con']","['chaotic', 'comedic', 'empowering']","['alcohol', 'foul language', 'smoking', 'violence']",['Arjunn Dutta'],"['Anindya Sengupta', 'Anirban Chakrabarti', 'Loknath Dey', 'Paoli Dam', 'Subrat Dutta', 'Swastika Mukherjee']",1
movie::7c373760-6cc6-4d71-9afc-123b0a0e9ac9,Prof. Shanku O El Dorado,movie,Science Fiction,2010s,"['life_threat', 'survival']","['mysterious', 'suspenseful', 'tense']",['appropriate for age 7 and above'],['Sandip Ray'],"['Dhritiman Chatterji', 'Jacqueline Mazarella', 'Ratan Sarkhel', 'Ricardo Dantas', 'Subhasish Mukhopadhyay']",1
movie::7eaec61f-66bd-47cd-8e81-2b471d17c191,Me vs You (Hindi),movie,Romance,2010s,"['forbidden_love', 'reconciliation']","['bittersweet', 'dramatic', 'emotional']",['sexual content'],['Mainak Bhaumik'],"['Priyanka Sarkar', 'Rahul Arunoday Banerjee']",1
movie::7eea26d8-6f98-47d3-882e-d94f5ee76533,Detective (Hindi),movie,Thriller,2020s,"['comedy_of_errors', 'crime_investigation', 'deception_disguise']","['chaotic', 'comedic']",['suitable for all ages'],['Joydeep Mukherjee'],"['Ambarish Bhattacharya', 'Anirban Bhattacharya', 'Ishaa Saha', 'Shaheb Bhattacharjee']",1
movie::7fe739bc-ba1e-4f81-8a77-c84b8ed5e461,Bonolota Express (2026),movie,Comedy,2020s,"['comedy_of_errors', 'ensemble_multiple_storylines', 'forbidden_love']","['chaotic', 'comedic']","['alcohol', 'mature themes', 'smoking']",['Tanim Noor'],"['Azmeri Haque Badhon', 'Chanchal Chowdhury', 'Intekhab Dinar', 'Mosharraf Karim', 'Sabila Nur', 'Sariful Razz', 'Shamima Nazneen', 'Shamol Mawla', 'Zakia Bari Mamo']",1
movie::80e6f69f-7705-46f8-a839-ce725474471d,Bhuto Purbo,movie,Horror,2020s,"['cover_up', 'deception_disguise', 'ghost_haunting', 'supernatural_threat']","['dark', 'eerie', 'mysterious']","['alcohol', 'frightening scene', 'smoking', 'violence']","['Avinab Mukherjee', 'Kakoli Ghosh']","['Amrita Chattopadhyay', 'Biswajit Chakraborty', 'Rupanjana Mitra', 'Sandipta Sen', 'Saptarshi Maulik', 'Satyam Bhattacharya', 'Suhotra Mukhopadhyay']",1
movie::8105b267-3e29-43d7-a51d-beaf8d07c94c,Shibpur,movie,Thriller Drama,2020s,"['crime_investigation', 'missing_person', 'murder_mystery', 'political_unrest']","['mysterious', 'suspenseful', 'tense']","['foul language', 'mature themes', 'violence']",['Arindam Bhattacharya'],"['Kharaj Mukherjee', 'Parambrata Chattopadhyay', 'Rajatava Dutta', 'Susmita Chatterjee', 'Swastika Mukherjee']",1
movie::812fe6ef-25a1-4ef1-b8b1-18103c3a81f0,Bishorjon,movie,Drama,2010s,"['forbidden_love', 'social_injustice']","['bittersweet', 'dramatic', 'tense']","['foul language', 'sexual content', 'violence']",[],"['Abir Chatterjee', 'Jaya Ahsan', 'Kaushik Ganguly']",1
movie::816c5104-1d0f-4470-a1b0-97e5682c4bc1,Hushhh (Hindi),movie,Horror,2020s,"['crime_investigation', 'ghost_haunting', 'missing_person', 'supernatural_threat']","['eerie', 'mysterious', 'suspenseful']",['frightening scene'],['Rick Basu'],"['Moinaak', 'Parno Mittra']",1
movie::837f6ff3-d3aa-4d23-ac3a-9ae69a5a1b88,Tasher Ghawr,movie,Drama,2020s,"['cover_up', 'deception_disguise', 'domestic_conflict']","['dark', 'ominous', 'tense']",['violence'],['Sudipto Roy'],['Swastika Mukherjee'],1
movie::84eb4e6f-bed8-40eb-b949-70582c080da5,Ballabhpurer Roopkotha,movie,Horror Comedy,2020s,"['comedy_of_errors', 'curse_ritual', 'ghost_haunting']","['comedic', 'eerie']",['suitable for all ages'],[],"['Anirban Bhattacharya', 'Debraj Bhattacharya', 'Jhulan Bhattacharya', 'Satyam Bhattacharya', 'Surangana Bandopadhyay']",1
movie::87223a0b-e92b-4265-a368-6e7c35db0982,Koshtoneer,movie,Drama,2020s,"['ensemble_multiple_storylines', 'family_conflict', 'family_rivalry', 'family_secrets']","['dramatic', 'emotional', 'tense']",['appropriate for age 7 and above'],['Ashfaque Nipun'],"['Runa Khan', 'Saberi Alam', 'Sabila Nur', 'Sayed Babu', 'Shamol Mawla', 'Tariq Anam Khan', 'Yash Rohan']",1
movie::89120663-4e83-4703-8d3c-61063d1c701b,Tushagni,movie,Thriller,2010s,"['crime_investigation', 'kidnapping', 'life_threat']","['intense', 'suspenseful', 'tense']",['violence'],['Rana Banerjee'],"['Amrita Chattopadhyay', 'Arjun Chakrabarty', 'Debesh Roy Chowdhury', 'Soma Chakraborty']",1
movie::8b33b678-d080-47a7-b8af-2310368e7ae5,Patro Chai,movie,Romantic,2020s,"['arranged_marriage', 'comedy_of_errors', 'gender_empowerment']","['comedic', 'heartwarming']",['suitable for all ages'],['Sayantan Dhara'],"['Rajdeep Gupta', 'Srijla Guha']",1
movie::9110fa48-c3a7-47f0-b5d5-2b42fd45964c,Chirodiner,movie,Romantic Drama,1960s,"['forbidden_love', 'reconciliation']","['bittersweet', 'dramatic', 'emotional']",['suitable for all ages'],['Agradoot'],"['Gita Dey', 'Supriya Devi', 'Uttam Kumar']",1
movie::94b0e5a6-d04d-4889-873b-82571aeeefd7,Bird of Dusk,movie,Documentary,2010s,"['gender_empowerment', 'self_discovery', 'social_injustice']","['dramatic', 'emotional']",['suitable for all ages'],"['Aparna Sen', 'Sangeeta Datta']","['Arjun Rampal', 'Dorrothy Wenner', 'Jisshu Sengupta', 'Kaushik Ganguly', 'Konkona Sen Sharma', 'Nandita Das', 'Prosenjit Chatterjee', 'Ranjan Bose', 'Sharmila Tagore', 'Soumitra Chatterjee']",1
movie::95c6432e-04b7-4a6e-ba4f-65bd3281ec4a,Prem Perfume,movie,Romance,2020s,"['family_conflict', 'family_rivalry', 'forbidden_love']","['dramatic', 'emotional', 'heartwarming']",['suitable for all ages'],['Sayantan Dhara'],"['Alivia Sarkar', 'Aryann Bhowmik']",1
movie::9a6ffd64-db1f-458f-ae58-07fc2a420e66,Ek Tuku Chhoa Lage,movie,Romantic Comedy,1970s,"['love_triangle', 'unlikely_friendship']","['bittersweet', 'comedic', 'heartwarming']",['suitable for all ages'],['Kamal Majumdar'],"['Azra', 'Biswajit Chatterjee', 'Chandrima Bhaduri', 'Kishore Kumar', 'Raka Bhaduri', 'Samar Chattopadhyay']",1
movie::9abde444-80b0-4135-aabb-40f5de678161,Bhoot Chaturdashi,movie,Horror Drama,2010s,"['curse_ritual', 'ghost_haunting', 'supernatural_threat', 'survival']","['eerie', 'ominous', 'tense']","['foul language', 'frightening scenes', 'violence']",['Shabbir Mallick'],"['Aryann Bhowmik', 'Deepsheta Mitra', 'Ena Saha', 'Soumendra Bhattacharya']",1
movie::a2fdbc9a-f67b-4aba-8949-de847a443c03,Karnasubarner Guptodhon,movie,Adventure,2020s,"['crime_investigation', 'ensemble_multiple_storylines', 'life_threat']","['intense', 'suspenseful']",['suitable for all ages'],['Dhrubo Banerjee'],"['Abir Chatterjee', 'Arjun Chakrabarty', 'Ishaa Saha', 'Rajatava Dutta', 'Saurav Das']",1
movie::a8181eea-f982-4ad0-adfe-a64c98d861d0,Pratidwandi,movie,Thriller,2020s,"['crime_investigation', 'kidnapping', 'murder_mystery']","['mysterious', 'suspenseful', 'tense']","['foul language', 'substance use', 'violence']",['Saptaswa Basu'],"['Rudranil Ghosh', 'Saayoni Ghosh', 'Saswata Chatterjee', 'Saurav Das']",1
movie::aadf2ba0-8c64-47e7-bfa8-1738f378c4a5,Dracula Sir,movie,Drama,2020s,"['forbidden_love', 'political_unrest', 'supernatural_threat']","['bittersweet', 'dramatic', 'eerie']","['foul language', 'violence']",['Debaloy Bhattacharya'],"['Anirban Bhattacharya', 'Bidipta Chakraborty', 'Mimi Chakraborty']",1
movie::ab60bc90-adf0-4f30-bca8-e717b4878cc4,Nil Nirjane,movie,Romance,2000s,"['family_conflict', 'forbidden_love', 'self_discovery']","['bittersweet', 'dramatic', 'emotional']",['sexual content'],['Subrata Sen'],"['June Malia', 'Moon Moon Sen', 'Raima Sen', 'Rajatava Dutta']",1
movie::abbe0a00-20d8-4677-98d9-adcce49c4a23,Generation Aami,movie,Drama,2010s,"['domestic_conflict', 'family_conflict', 'self_discovery']","['dramatic', 'emotional']","['foul language', 'smoking', 'substance use', 'suicide']",['Mainak Bhaumik'],"['Aparajita Adhya', 'Rwitobroto Mukherjee', 'Sauraseni Maitra']",1
movie::ad75f850-2793-4dfe-a232-01bffbaaa33c,Sahaj Paather Gappo,movie,Drama,2010s,"['class_divide', 'family_conflict', 'survival']","['bittersweet', 'dramatic', 'emotional']",['suitable for all ages'],['Manas Mukul Pal'],"['Nur Islam', 'Samiul Alam', 'Sneha Biswas']",1
movie::afcf5358-85d4-469f-8fb9-3f00d2c25df6,Shororipu 2 : Jotugriho,movie,Detective,2020s,"['crime_investigation', 'family_secrets', 'murder_mystery']","['mysterious', 'suspenseful', 'tense']","['alcohol', 'domestic violence', 'foul language', 'sexual assault', 'smoking', 'violence']",['Ayan Chakraborti'],"['Arunima Ghosh', 'Chiranjeet Chakrabarti', 'Darshana Banik', 'Rajesh Sharma', 'Saswata Chatterjee']",1
movie::b075c71e-c62a-4634-9f70-514580db95b1,Hiralal,movie,Drama,2010s,"['self_discovery', 'social_injustice']","['dramatic', 'tragic', 'uplifting']",['appropriate for age 7 and above'],['Arun Roy'],"['Anuska Chakraborty', 'Kharaj Mukherjee', 'Kinjal Nanda', 'Saswata Chatterjee']",1
movie::b0a1a05d-0654-4fc3-bcc1-14000a1067c6,Belashuru,movie,Drama,2020s,"['family_conflict', 'reconciliation', 'self_discovery']","['bittersweet', 'emotional', 'heartwarming']",['suitable for all ages'],"['Nandita Roy', 'Shiboprosad Mukherjee']","['Aparajita Adhya', 'Indrani Dutta', 'Kaushik Sen', 'Kharaj Mukherjee', 'Monami Ghosh', 'Rituparna Sengupta', 'Shankar Chakraborty', 'Soumitra Chatterjee', 'Swatilekha Sengupta']",1
movie::b478f6f3-fe22-4e4c-be9e-28c30a56f3a6,Durgeshgorer Guptodhon,movie,Adventure,2010s,"['heist', 'life_threat']","['suspenseful', 'tense']",['appropriate for age 7 and above'],['Dhrubo Banerjee'],"['Abir Chatterjee', 'Anindo Chatterjee', 'Arjun Chakrabarty', 'Aryann Bhowmik', 'Ishaa Saha', 'June Malia']",1
movie::b4da0dd0-42d8-451d-a270-069c95bc7eca,Hawa Bodol,movie,Drama,2010s,"['comedy_of_errors', 'mistaken_identity', 'self_discovery', 'unlikely_friendship']","['chaotic', 'comedic']","['foul language', 'sexual content', 'substance use', 'violence']",[],"['Parambrata Chattopadhyay', 'Raima Sen', 'Rudranil Ghosh']",1
movie::b9aebd8a-42eb-4965-8dc6-81e8459b2d2f,Golondaaj,movie,Sports Drama,2020s,"['class_divide', 'political_unrest', 'social_injustice']","['dramatic', 'empowering', 'uplifting']",['suitable for all ages'],['Dhrubo Banerjee'],"[""Alexx O'Nell"", 'Anirban Bhattacharya', 'Dev', 'Ishaa Saha']",1
movie::bbafd59a-54aa-4fde-9b63-66c92c0db681,Byomkesh Hotyamancha,movie,Murder Mystery,2020s,"['crime_investigation', 'murder_mystery', 'political_unrest']","['mysterious', 'suspenseful', 'tense']","['foul language', 'sexual content', 'violence']",['Arindam Sil'],"['Abir Chatterjee', 'Arna Mukhopadhyay', 'Kinjal Nanda', 'Paoli Dam', 'Sohini Sarkar', 'Suhotra Mukhopadhyay']",1
movie::bbcd857a-f35f-46bc-860a-dee5e7b0c42a,No Dorai,movie,Sports Drama,2010s,"['class_divide', 'gender_empowerment', 'social_injustice']","['dramatic', 'empowering', 'uplifting']","['foul language', 'violence']",['Taneem Rahman Angshu'],"['Sariful Razz', 'Sayed Babu', 'Sunerah Binte Kamal', 'Wasim Sitar Liyakat']",1
movie::bdce100b-05a7-444a-9790-8bb5b93d3426,Shaheb Bibi Golaam,movie,Thriller,2010s,"['domestic_conflict', 'love_triangle', 'social_injustice']","['dramatic', 'emotional', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']","['Anjan Dutt', 'Pratim D Gupta']","['Parno Mittra', 'Ritwick Chakraborty', 'Swastika Mukherjee', 'Vikram Chatterjee']",1
movie::be0c91aa-7443-44ad-a163-51f6cc96983d,Tea Time (Hindi),movie,Romance,2010s,"['ensemble_multiple_storylines', 'reconciliation']","['bittersweet', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],"['Debaloy Bhattacharya', 'Mainak Bhaumik', 'Pathikrit Basu']","['Amrita Chattopadhyay', 'Aparajita Adhya', 'Rajdeep Gupta', 'Rupankar Bagchi', 'Saayoni Ghosh', 'Sampurna Lahiri', 'Saurav Das']",1
movie::be38f50f-c20d-45a0-bead-e5707477ee6a,Abar Bibaho Obhijaan,movie,Comedy,2020s,"['comedy_of_errors', 'deception_disguise', 'scam_con', 'unlikely_friendship']","['chaotic', 'comedic']",['suitable for all ages'],['Soumik Haldar'],"['Anirban Bhattacharya', 'Ankush Hazra', 'Nusraat Faria', 'Priyanka Sarkar', 'Rudranil Ghosh', 'Sohini Sarkar']",1
movie::c3fc85f9-1f3f-4aaa-a082-e7e2ab66f108,Ek Je Chhilo Raja,movie,Drama,2010s,"['deception_disguise', 'family_secrets', 'legal_case_trial', 'mistaken_identity']","['dramatic', 'mysterious', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']",['Srijit Mukherji'],"['Anirban Bhattacharya', 'Jaya Ahsan', 'Jisshu Sengupta']",1
movie::c9b34d76-8fb4-4400-86cd-15df4edfe500,Gumnaami,movie,Mystery Drama,2010s,"['cover_up', 'missing_person', 'political_unrest']","['dramatic', 'mysterious', 'tense']",['appropriate for age 7 and above'],['Srijit Mukherji'],"['Akshay Kapoor', 'Anirban Bhattacharya', 'Biplab Dasgupta', 'Prantik Banerjee', 'Prosenjit Chatterjee', 'Sanjay Gurbaxani', 'Satyam Bhattacharya', 'Shibashish Bandopadhyay', 'Shyamal Chakraborty', 'Surendra Rajan', 'Tanusree Chakraborty']",1
movie::cfe7e148-9600-49a2-832f-269003bb5681,Dwitiyo Purush,movie,Thriller,2020s,"['betrayal', 'crime_investigation', 'murder_mystery']","['dark', 'suspenseful', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']",['Srijit Mukherji'],"['Anirban Bhattacharya', 'Babul Supriyo', 'Gaurav Chakrabarty', 'Parambrata Chattopadhyay', 'Raima Sen', 'Ridhima Ghosh']",1
movie::d10e7a6c-d9c5-4edd-a669-26d5be208ddb,Lawho Gouranger Naam Rey,movie,Drama,2020s,"['ensemble_multiple_storylines', 'missing_person', 'self_discovery']","['dramatic', 'mysterious']","['alcohol', 'foul language', 'mature themes', 'smoking', 'suicide']","['Bratya Basu', 'Srijit Mukherji']","['Dibyojyoti Dutta', 'Indraneil Sengupta', 'Ishaa Saha', 'Jisshu Sengupta', 'Subhashree Ganguly']",1
movie::d49eb2a3-b829-4f7c-b719-0623150cbd54,Hobu Chandra Raja Gobu Chandra Mantri,movie,Fantasy,2020s,"['deception_disguise', 'manipulation', 'political_unrest', 'scam_con']","['chaotic', 'comedic']",['suitable for all ages'],['Aniket Chattopadhyay'],"['Arpita Chatterjee', 'Kharaj Mukherjee', 'Saswata Chatterjee', 'Subhasish Mukhopadhyay']",1
movie::d6402424-0176-4647-9427-13a9d1985187,Bariwali,movie,Drama,2000s,"['forbidden_love', 'midlife_crisis', 'self_discovery']","['bittersweet', 'emotional']","['foul language', 'mature themes', 'sexual content']",['Rituparno Ghosh'],"['Chiranjeet Chakrabarti', 'Kirron Kher', 'Roopa Ganguly', 'Sudipta Chakraborty']",1
movie::d7e395bc-0586-43e5-a491-a2abdb801920,The Parcel,movie,Drama,2010s,"['cover_up', 'deception_disguise', 'family_secrets']","['mysterious', 'suspenseful', 'tense']",['violence'],[],"['Anindya Chatterjee', 'Indrasis Acharya', 'Rituparna Sengupta', 'Saswata Chatterjee']",1
movie::dc7ea2e6-f8db-4471-a3d6-121e348ca4f9,Offline,movie,Drama,2010s,"['deception_disguise', 'manipulation']","['dark', 'mysterious', 'tense']",['appropriate for age 7 and above'],['Rajkumar Adhikary'],"['Farhan Imroz', 'Sairity Banerjee']",1
movie::dd9f8076-bd44-4d2a-9cdd-8bfe2c817504,I am Joyita,movie,Documentary,2020s,"['gender_empowerment', 'self_discovery', 'social_injustice']","['emotional', 'empowering', 'uplifting']","['foul language', 'sexual content']",['Soumya Sengupta'],['Joyita Mandal'],1
movie::de615b51-d80e-4db8-9af1-fdc557e26421,Uma,movie,Drama,2010s,"['life_threat', 'self_discovery']","['emotional', 'heartwarming', 'tragic']","['foul language', 'violence']","['Anjan Dutt', 'Srijit Mukherji']","['Anirban Bhattacharya', 'Jisshu Sengupta', 'Rudranil Ghosh', 'Sara Sengupta', 'Srabanti Chatterjee']",1
movie::e037ae82-1c0a-4fbb-9da0-899fa29cacfc,Palok,movie,Drama,2020s,"['betrayal', 'domestic_conflict', 'gender_empowerment']","['emotional', 'empowering', 'tragic']",['suitable for children and persons of all ages'],['Ratool Mukherjee'],"['Rupanjana Mitra', 'Saswata Chatterjee']",1
movie::e07a6f19-6ec4-4e6b-99ef-1e9ea746dad8,Sin Sister,movie,Murder Mystery,2020s,"['deception_disguise', 'manipulation', 'mistaken_identity', 'murder_mystery']","['dark', 'mysterious', 'suspenseful']","['foul language', 'sexual content', 'substance use', 'violence']","['Shubhabrata Chatterjee', 'Tathagata Mukherjee']","['Ashima Chakraborty', 'Debleena Dutt', 'Madhumita Gupta', 'Preetam Ganguly', 'Rupankar Bagchi', 'Tuhina Das', 'Vivaan Ghosh']",1
movie::e57a373e-0e71-45cd-8e72-5fb419ccbb75,The Eken,movie,Detective,2020s,"['comedy_of_errors', 'crime_investigation', 'murder_mystery']","['comedic', 'mysterious', 'suspenseful']",['appropriate for age 7 and above'],['Joydeep Mukherjee'],"['Anirban Chakrabarti', 'Debasish Mondal', 'Paayel Sarkar', 'Somak Ghosh', 'Suhotra Mukhopadhyay']",1
movie::e9db61b2-e9ab-4f0b-8905-ba6a04c6ed5a,Guptodhoner Sondhane,movie,Adventure,2010s,"['heist', 'life_threat']","['suspenseful', 'tense']",['suitable for all ages'],['Dhrubo Banerjee'],"['Abir Chatterjee', 'Arjun Chakrabarty', 'Ishaa Saha', 'Rajatava Dutta']",1
movie::ea1580dd-9eba-4162-be6f-f8ac0bddf5f2,Ghawre Bairey Aaj,movie,Political Drama,2010s,"['class_divide', 'extramarital_affair', 'love_triangle', 'political_unrest']","['dramatic', 'emotional', 'tense']","['foul language', 'sexual content', 'substance use', 'violence']",['Aparna Sen'],"['Anirban Bhattacharya', 'Jisshu Sengupta', 'Rwitobroto Mukherjee', 'Sreenanda Shankar', 'Tuhina Das']",1
movie::efa1d489-9aa2-458e-898e-f5034cb448ab,Nagarkirtan,movie,Drama,2010s,"['class_divide', 'forbidden_love', 'gender_empowerment', 'social_injustice']","['dramatic', 'emotional', 'tragic']","['foul language', 'sexual content', 'substance use', 'violence']",[],"['Bidipta Chakraborty', 'Kaushik Ganguly', 'Riddhi Sen', 'Ritwick Chakraborty', 'Sujan Mukherjee']",1
movie::f0fb272a-4839-4f34-9707-c8f241e1c066,Bhagwan Sri Krishna Chaitanya,movie,Devotional,1950s,"['reconciliation', 'self_discovery']","['emotional', 'heartwarming', 'uplifting']",['suitable for all ages'],['Debaki Bose'],"['Basanta Choudhury', 'Pahari Sanyal', 'Suchitra Sen']",1
movie::f86f4dd3-4a0f-4662-9ccc-bfffae2c55ca,Rawkto Rawhoshyo,movie,Thriller,2020s,"['family_secrets', 'life_threat', 'missing_person']","['mysterious', 'suspenseful', 'tense']",['appropriate for age 7 and above'],['Soukarya Ghosal'],"['Chandan Roy Sanyal', 'Koel Mallick', 'Rwitobroto Mukherjee']",1
movie::fa19a274-a7f8-455c-9f2a-6d470bc0ac1e,Nishipadma,movie,Drama,1970s,"['betrayal', 'extramarital_affair', 'social_injustice']","['dramatic', 'emotional', 'tragic']",['violence'],['Arabinda Mukhopadhyay'],"['Anup Kumar', 'Sabitri Chatterjee', 'Uttam Kumar']",1
movie::fae2aecf-fc77-411b-8f3d-91e633694d51,Cheeni 2,movie,Comedy Drama,2020s,"['domestic_conflict', 'family_conflict', 'self_discovery']","['dramatic', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Mainak Bhaumik'],"['Aparajita Adhya', 'Lily Chakravarty', 'Madhumita Sarcar', 'Pinky Banerjee', 'Soumya Mukherjee']",1
movie::fc07756a-feb3-4cf2-a433-fe0ab96434a5,Akash Kusum,movie,Drama,1960s,"['class_divide', 'deception_disguise', 'mistaken_identity']","['bittersweet', 'dramatic', 'tense']",['appropriate for age 7 and above'],"['Aparna Sen', 'Mrinal Sen']","['Soumitra Chatterjee', 'Subhendu Chattopadhyay']",1
movie::fd319be9-d35c-4c21-88d1-394cf3684914,Bhasan,movie,Drama,2020s,"['forbidden_love', 'reconciliation']","['bittersweet', 'emotional', 'heartwarming']",['appropriate for age 7 and above'],['Trisha Nandi'],"['Shabnam Mustafi', 'Swades Ganguly']",1
struct::0036224c-3cd3-4359-a9fa-9b99a2d65f49,Mission Huntdown Season 1,series,Thriller,2020s,"['betrayal', 'crime_investigation', 'espionage_undercover', 'fugitive_manhunt', 'life_threat', 'missing_person', 'murder_mystery', 'terrorism']","['dark', 'intense', 'suspenseful', 'tense']","['foul language', 'mature themes', 'smoking', 'violence']","['Faisal Ahmed', 'Sunny Sanwar']","['AK Azad Shetu', 'Bidya Sinha Saha Mim', 'FS Nayeem', 'Hasnat Ripon', 'Nishat Priom', 'Shahriar Shajib', 'Sumit Sen Gupta']",9
struct::1080bcf1-7fce-4d25-b3a6-b778b0f17f10,Biwi Ho To Aisi (Hindi) Season 1,series,Comedy,2020s,"['deception_disguise', 'domestic_conflict', 'family_secrets']","['comedic', 'dramatic']","['foul language', 'violence']",['Debaloy Bhattacharya'],"['Ankita Chakraborty', 'Gourab Chatterjee', 'Rajdeep Gupta', 'Saayoni Ghosh', 'Saurav Das']",1
